Samples,204252_at,211803_at,211804_s_at,Class
GSM1358030,1590.62,11.8078,1124.87,2
GSM1358029,2521.91,19.1608,1549.33,2
GSM1358028,2095.84,35.7587,1037.34,2
GSM1358027,2051.67,82.1579,1039.14,2
GSM1358026,1263.79,98.0167,654.808,2
GSM1358025,1429.33,83.5849,550.395,2
GSM1358024,1375.7,103.048,644.676,2
GSM1358023,1094.52,11.1612,826.809,2
GSM1358022,1556.16,93.0051,731.359,2
GSM1358021,1573.84,11.2432,932.209,2
GSM1358020,1306.02,81.3789,900.879,2
GSM1358019,1196.31,106.872,750.752,2
GSM1358018,1808.81,49.691,850.797,2
GSM1358017,1428.06,31.9237,943.419,2
GSM1358016,1513.82,14.7655,1045.96,2
GSM1358015,1708.22,17.0001,904.023,2
GSM1358014,1475.01,60.6092,652.593,2
GSM1358013,1569.4,78.6192,906.976,2
GSM1358012,1595.87,15.1546,851.293,2
GSM1358011,1607.45,12.6003,919.146,2
GSM1358010,1991.54,51.9175,1041.53,2
GSM1358009,2119.68,14.8001,583.337,2
GSM1358008,1984.17,6.11844,816.573,2
GSM1358007,1831.06,32.6196,1038.93,2
