Samples,204252_at,211803_at,211804_s_at
GSM1333052,5.6830,2.5661,3.6017
GSM1333051,6.3848,2.6437,4.5953
GSM1333050,5.9797,2.5100,3.7119
GSM1333049,6.5320,2.7665,4.5990
GSM1333048,5.1479,2.5512,3.5190
GSM1333047,5.6193,2.6192,3.8155
GSM1333046,5.9466,2.4973,4.0491
GSM1333045,5.7524,2.4584,3.7172
GSM1333044,4.4124,2.9249,4.6569
GSM1333043,5.6757,2.4816,3.6290
GSM1333042,5.9648,2.6603,3.1737
GSM1333041,5.6716,2.5720,3.3433
GSM1333040,5.6522,2.6947,3.3074
GSM1333039,6.0442,2.5510,3.3160
GSM1333038,4.7663,2.7038,3.5275
GSM1333037,5.5137,2.3087,3.4222
GSM1333036,5.3774,2.8271,3.9742
GSM1333035,5.4879,2.6710,3.5585
GSM1333034,4.6667,2.6091,3.9236
GSM1333033,5.1814,2.7452,3.6140
GSM1333032,5.6201,2.4672,3.6607
GSM1333031,6.1629,3.3819,3.6931
GSM1333030,5.0350,2.6644,4.1012
GSM1333029,5.8452,2.5140,3.6397
GSM1333028,6.8889,3.0070,3.7357
GSM1333027,5.5011,3.5068,4.8516
GSM1333026,5.2575,3.7076,4.4028
GSM1333025,5.6161,3.0762,4.6834
GSM1333024,6.7039,3.2129,5.2119
GSM1333023,6.6660,3.3020,5.5409
GSM1333022,5.9420,3.3251,5.0539
GSM1333021,6.2275,3.0907,5.0661
GSM1333020,5.9206,2.5677,3.7561
GSM1333019,6.2682,2.7423,3.9641
GSM1333018,6.5842,2.8697,5.6293
GSM1333017,5.6062,2.9005,3.1575
GSM1333016,6.1966,2.6797,3.7165
GSM1333015,5.8968,2.7542,3.8342
GSM1333014,6.0987,2.7044,4.0367
GSM1333013,6.2601,2.8684,4.4264
GSM1333012,6.3855,2.7552,3.9350
GSM1333011,5.5471,2.5049,3.5384
GSM1333010,6.5863,2.6465,5.4911
GSM1333009,6.2895,2.6972,3.8352
GSM1333008,5.1497,2.6659,3.8238
GSM1333007,6.0348,2.7354,3.7991
GSM1333006,6.5247,2.7689,3.8523
GSM1333005,5.5147,2.6295,3.5031
GSM1333004,6.9575,2.5720,5.2998
GSM1333003,6.8598,2.5791,4.7430
GSM1333002,6.1847,2.8237,3.4632
GSM1333001,6.3353,2.5784,3.7071
GSM1333000,6.0868,2.5230,3.6210
GSM1332999,6.9706,2.9385,3.9634
GSM1332998,6.1901,2.6549,3.6933
GSM1332997,5.2447,2.5833,3.9020
GSM1332996,5.9492,2.8306,3.5981
GSM1332995,6.3832,3.1504,4.0591
GSM1332994,6.2807,2.6213,4.1771
GSM1332993,6.4604,2.8328,4.7720
GSM1332992,6.5087,2.6346,3.9125
GSM1332991,5.9568,2.3567,4.0682
GSM1332990,6.1341,2.6847,3.5697
GSM1332989,5.2922,2.1498,3.3227
GSM1332988,6.1529,2.4996,3.8186
GSM1332987,6.5667,2.5635,4.9718
GSM1332986,6.1830,2.7228,3.6185
GSM1332985,5.3480,2.5484,3.5661
GSM1332984,6.5990,2.9543,5.3977
